今天我们来学习，机器学习中的一个重要思想。 | [大标题：分类器融合，副标题：从单体模型到团队合作]
如何把多个弱分类器，组合成一个强大的模型？ | [大标题继续，显示多个小机器人合成一个大机器人]
在之前的学习中，我们学过了单一模型，比如决策树和神经网络。 | [展示决策树和神经网络的图]
但是单一模型，面临着一个核心矛盾，那就是偏差和方差的权衡。 | [Bias-Variance Trade-off 折线图]
简单的模型，像是仅有一层的决策树桩，它的偏差很高，很容易欠拟合。 | [简单模型欠拟合的示意图]
而复杂的模型，像是深层决策树，方差又很高，极其容易过拟合。 | [复杂模型过拟合的示意图]
我们怎样才能，既拥有强大的表达能力，又不增加方差呢？ | [打个问号，引出解决方案]
答案就是团队合作，在机器学习中我们叫它集成学习。 | [大标题：集成学习 Ensemble Learning]
集成学习的核心思想，就是构建多个基分类器，然后让它们投票表决。 | [多个分类器投票的机制图]
就像法庭上的陪审团，少数服从多数。 | [陪审团举手表决的插画]
不过，这也是有前提条件的，不能随便找几个分类器就来凑数。 | [警告提示的图标]
第一个条件是独立性，也就是说，不能盲目听从同一个人的意见。 | [独立性条件高亮]
第二个条件是有效性，每个分类器的准确率，必须大于百分之五十。 | [准确率 > 0.5 条件高亮]
如果满足这俩条件，怎么才能构建出，不一样的分类器呢？ | [提出构建多样性的问题，特征/数据/算法等图标]
最直接的方法，就是操作训练集数据，这引出了我们第一个方案，叫做 Bagging。 | [大标题：方案一 Bagging，副标题：平行作业]
Bagging 的做法简单粗暴，它使用了一种，名为 Bootstrap 的采样方法。 | [Bootstrap 采样的图示]
每一轮的训练，我们从原始数据中，有放回地随机抽取样本。 | [有放回采样的动效图示]
这意味着，部分数据会被重复抽到，而部分数据完全不会被抽到。 | [重复与未被抽中数据的占比图]
然后，我们在每个新抽样的数据集上，独立训练出一个分类器。 | [多个模型并行训练的结构图]
最后，所有的分类器一起，对新样本进行预测，通过多数表决得出结果。 | [多个模型预测并投票得出最终结果的流程图]
由于每个模型，看到的数据略有不同，这就保证了模型的多样性。 | [多样性保证的逻辑高亮]
这种方法，通过投票机制，极大地降低了高复杂度模型的方差。 | [方差降低的折线变化图]
但是 Bagging 也有一个缺陷，那就是各个模型，都在各自为战。 | [各个模型平行且互不交流的示意图]
假设数据集中，有一个极其难以分类的重点错题样本。 | [一个特别醒目的难例红点]
我们的前三个模型都没有学会，全都猜错了这个样本。 | [前三个模型全军覆没的 X 标记]
但是在训练第四个模型时，它并不知道前人的失败。 | [打个盲人摸象和失败的标记]
它依然把这个硬骨头，当成普通样本来处理。 | [第四个模型依然无视重点的示意图]
既然平行作业，没有这种吸取教训的机制，我们需要一种新算法！ | [问号变感叹号，引出新算法]
这就轮到了，我们的第二个方案出场，它是 Boosting 提升方法。 | [大标题：方案二 Boosting，副标题：错题本机制]
Boosting 将并行的训练，变成了串行的接力赛。 | [并行变串行的对比图]
它引入了两个关键概念，样本的权重，以及模型的重要性。 | [两个重点概念高亮框]
第一步，所有的样本最开始，权重都是相等的。 | [所有样本等大的圆圈图示]
第二步，利用当前数据训练模型，并检查哪些样本被分错了。 | [模型检查出错题的示意图]
第三步，增加错误样本的权重，降低正确样本的权重。 | [错题圆圈变大，对题圆圈变小的动效图]
这样一来，在下一轮训练时，分类器就必须更加重视这些错题！ | [错题被红色高亮放大的提示]
以此类推，一次次迭代过去，不同模型的能力也参差不齐。 | [不同模型表现不一的示意图]
到了最后投票时，平时考试准确率高的模型，话语权就会更大。 | [高分模型获得更高权重的示意图]
以最著名的 AdaBoost 为例，它通过数学公式，动态精细地调整权重。 | [展示 AdaBoost 的权重调整公式及权重曲线]
对比一下这两位选手，Bagging 是有放回的随机抽样，用来降低方差。 | [Bagging 降低方差的表格对比行]
而 Boosting 则是根据错误率调整，重点关注错题，用来降低偏差。 | [Boosting 降低偏差的表格对比行]
听起来完美，那么 Boosting 有没有自带的缺陷呢？ | [问号图标及思考表情]
由于它太执着于解决错题，如果数据集中混入了几个脏数据呢？ | [脏数据/噪音点的图标]
它会无限放大这些噪音，死磕到底，这就导致了严重的过拟合。 | [噪音被无限放大的图示和过拟合警告]
工业界为了兼顾两者的优点，基于它们开发了更进阶的武器。 | [大标题：进阶武器：随机森林与梯度提升]
对 Bagging 升级，诞生了随机森林大杀器。 | [包含多棵树的随机森林图标]
它在每次分裂时，不但随机抽数据，还随机抽特征。 | [数据+特征双重随机的图解]
这就使得树木之间的相关性进一步降低，极强地抑制了过拟合。 | [解耦和抗过拟合效果图]
对 Boosting 升级，诞生了同样出名的梯度提升，比如 XGBoost。 | [XGBoost 标志与梯度提升流程图]
它不去无脑调整样本权重，而是让下一棵树，去拟合前一棵树的残差。 | [目标值减去预测值得到残差的数学逻辑图]
这就是集成学习的演进之路，从单干到组团，从平行作业到错题本接力。 | [演进路线全景梳理图]
掌握这两大流派的思想精髓，你就算真正入门了机器学习。 | [总结与鼓励的画面]
